학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구경동초등학교,수성구,1871,1.630353665,0.267237,0.978781,1,0.3313,0.4693,기타 개인 서비스업 복합코드,14.27044361,0.8572074504,1.652136155,1.822087778
대구서촌초등학교,동구,22,1.57964771,9.090909,0.932322,1,0.3499,0.4321,,0,1.636456114,1.636456114,1.090379779
대구대청초등학교,수성구,1488,1.557619548,1.344086,0.975191,1,0.3313,0.4693,기타 개인 서비스업 복합코드,18.8172043,0.8557741801,1.381813329,1.524167956
대구경진초등학교,북구,76,1.492985048,10.526316,0.93463,1,0.3493,0.4321,,0,1.545805165,1.545805165,1.050653146
대구공산초등학교,동구,81,1.492676799,6.17284,0.942049,1,0.3499,0.4321,,-12.34567901,1.542650036,1.542650036,1.05031929
대구범어초등학교,수성구,1028,1.492133448,2.140078,0.972538,1,0.3313,0.4693,기타 개인 서비스업 복합코드,32.87937743,0.8547168441,1.059151159,1.168384623
대구광명학교,남구,41,1.48950281,0,0.941907,0.693446,0.3552,0.5969,보건업 복합코드,0,1.422720039,1.422720039,0.9917956619
대구영화학교,남구,44,1.484744015,0,0.941907,0.693446,0.3552,0.5969,보건업 복합코드,0,1.418174607,1.418174607,0.9897135156
대구해안초등학교,동구,76,1.476213004,13.157895,0.918766,1,0.3499,0.4321,,-28.94736842,1.534503679,1.534503679,1.043652906
대구효동초등학교,동구,84,1.475893826,9.52381,0.930879,1,0.3499,0.4321,,-9.523809524,1.529519458,1.529519458,1.043047971
대구반송초등학교,달성군,46,1.455601612,30.434783,0.854522,1,0.3487,0.4321,,-0.2120890774,1.538912728,1.538912728,1.03731423
대구효신초등학교,동구,210,1.447339146,3.809524,0.949927,1,0.3499,0.4321,,58.0952381,1.326156791,1.326156791,0.9560004903
대구대산초등학교,북구,106,1.447191782,9.433962,0.938271,1,0.3493,0.4321,,-5.660377358,1.497044591,1.497044591,1.029647236
대구동곡초등학교,달성군,52,1.445069655,30.769231,0.853407,1,0.3487,0.4321,,-0.4480286738,1.528244822,1.528244822,1.032460932
대구하빈초등학교,달성군,93,1.442267244,12.903226,0.912961,1,0.3487,0.4321,,-0.4480286738,1.501454394,1.501454394,1.028175651
대구체육중학교,북구,56,1.436807643,0,0.969718,0.594615,0.3493,0.4321,,0,1.3323077,1.3323077,0.9132957754
