"정보공시 
학교코드_x",학교급구분,시군구명_x,학교명,H_m,,H_ppc,소비1위,소비2위,전입학생수 계,전출학생수 계,전체학생수 계_x,R_net,학구 순전입률(%),P_special,P_multi,P_benefit,I_SCU,H_path,H_job,과밀지수,고립지수
S060000548,초등학교,서구,한밭초등학교,15.98504294,15.96573275,0.264,"일반 교습학원 (950,562,442원 / 48.76%)","기타 교육기관 (195,956,852원 / 10.05%)",192,51,1673,0.08428,8.43,0.007172743574,1.942,9.077,96.32460909,1,0.3423,0.1214222323,0
S060000323,초등학교,중구,대전중앙초등학교,8.327218674,8.257578311,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",187,38,806,0.1,15,0.03970223325,3.136,16.124,93.56676592,1,0.3428,0.06371989485,0
S060001173,초등학교,유성구,대전용산초등학교,5.916682616,5.894139811,0.214,"일반 교습학원 (508,945,989원 / 43.41%)","기타 교육기관 (112,787,846원 / 9.62%)",123,22,938,0.073922,7.39,0.0170575693,2.08,7.841,96.68731414,1,0.346,0.0637572683,0
S060001140,초등학교,동구,대전은어송초등학교,5.397145621,5.40244834,0.084,"일반 교습학원 (63,106,710원 / 19.44%)","종합 소매업 (30,720,610원 / 9.46%)",125,26,838,0.082608,8.26,0.01909307876,4.034,27.601,89.44863564,1,0.3712,0.06021366765,0
S060000326,초등학교,동구,대전천동초등학교,5.050917328,5.036786187,0.084,"일반 교습학원 (63,106,710원 / 19.44%)","종합 소매업 (30,720,610원 / 9.46%)",121,30,728,0.1,12.03,0.03296703297,4.034,27.601,89.44401099,1,0.3712,0.05755345342,0
S060000296,초등학교,중구,대전목동초등학교,3.881335209,3.839661301,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",101,22,612,0.1,11.12,0.04901960784,3.136,16.124,93.56366013,1,0.3428,0.0483828482,0
S060001224,초등학교,유성구,대전원신흥초등학교,3.774790475,3.72149645,0.214,"일반 교습학원 (508,945,989원 / 43.41%)","기타 교육기관 (112,787,846원 / 9.62%)",101,38,570,0.1,11.05,0.05964912281,2.08,7.841,96.67311696,1,0.346,0.04506245666,0
S060001082,초등학교,중구,대전목양초등학교,3.676229983,3.657652234,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",86,11,671,0.1,11.18,0.02682563338,3.136,16.124,93.57105812,1,0.3428,0.05304720775,0
S060000521,초등학교,서구,대전삼천초등학교,3.101834921,3.075764078,0.264,"일반 교습학원 (950,562,442원 / 48.76%)","기타 교육기관 (195,956,852원 / 10.05%)",74,19,657,0.083714,8.37,0.03652968037,1.942,9.077,96.31482344,1,0.3423,0.04752306308,0
S060000309,초등학교,중구,대전선화초등학교,3.026955123,1.681180579,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",195,20,186,0.1,94.09,0.0752688172,3.136,16.124,93.55491039,1,0.3428,0.01470459112,0.535
S060001136,초등학교,중구,대전글꽃초등학교,2.065270561,2.055212772,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",61,42,919,0.020675,2.07,0.02611534276,3.136,16.124,93.57129489,1,0.3428,0.03303530183,0
S060000525,초등학교,서구,대전서원초등학교,1.822952924,1.810932349,0.264,"일반 교습학원 (950,562,442원 / 48.76%)","기타 교육기관 (195,956,852원 / 10.05%)",48,21,619,0.043619,4.36,0.02907915994,1.942,9.077,96.31730695,1,0.3423,0.0323197885,0
S060001113,초등학교,유성구,대전동화초등학교,1.688998236,1.684306573,0.214,"일반 교습학원 (508,945,989원 / 43.41%)","기타 교육기관 (112,787,846원 / 9.62%)",29,26,777,0.057045,5.7,0.01287001287,2.08,7.841,96.68871,1,0.346,0.04639485478,0
S060000336,초등학교,중구,산서초등학교,1.475144328,0.8160198854,0.081,"섬유, 의복, 신발 및 가죽제품 소매업 (47,669,480원 / 17.97%)","일반 교습학원 (31,034,120원 / 11.70%)",1,4,55,-0.05004,-5,0.0502,2.8691,15.601,93.80364884,1,0.3428,0,0.8625
